NODES,NODES,f
1,1,0
1,2,0
1,3,49.8863
1,4,37.4933
1,5,0
1,6,46.838
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,41.8427
2,1,0
2,2,0
2,3,0
2,4,0
2,5,48.5813
2,6,35.46
2,7,45.0858
2,8,0
2,9,0
2,10,0
2,11,45.4927
2,12,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,47.7191
3,6,0
3,7,0
3,8,47.8139
3,9,36.4576
3,10,0
3,11,38.9386
3,12,0
4,1,48.098
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,49.2253
4,10,34.7233
4,11,0
4,12,44.4011
5,1,0
5,2,44.6682
5,3,0
5,4,48.5696
5,5,0
5,6,0
5,7,45.5501
5,8,48.994
5,9,0
5,10,0
5,11,0
5,12,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,43.3197
6,9,40.5291
6,10,49.9814
6,11,0
6,12,50.0163
7,1,44.5659
7,2,0
7,3,41.7814
7,4,45.4939
7,5,0
7,6,49.7935
7,7,0
7,8,0
7,9,0
7,10,0
7,11,0
7,12,0
8,1,41.7149
8,2,48.4414
8,3,0
8,4,0
8,5,49.0409
8,6,49.7855
8,7,0
8,8,0
8,9,0
8,10,0
8,11,0
8,12,0
9,1,43.7521
9,2,36.6866
9,3,0
9,4,0
9,5,0
9,6,0
9,7,0
9,8,0
9,9,0
9,10,35.0565
9,11,0
9,12,44.6839
10,1,0
10,2,0
10,3,31.778
10,4,46.4645
10,5,42.5123
10,6,0
10,7,0
10,8,0
10,9,0
10,10,0
10,11,49.8644
10,12,0
11,1,0
11,2,0
11,3,49.2079
11,4,0
11,5,0
11,6,0
11,7,41.0208
11,8,0
11,9,41.7316
11,10,45.8606
11,11,0
11,12,0
12,1,0
12,2,40.6508
12,3,0
12,4,0
12,5,0
12,6,0
12,7,49.1439
12,8,47.6282
12,9,0
12,10,0
12,11,48.5887
12,12,0
