NODES,NODES,f
1,1,0
1,2,0
1,3,0
1,4,0
1,5,52.7964
1,6,52.0306
1,7,0
1,8,46.3509
1,9,0
1,10,48.8978
1,11,0
1,12,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,55.7004
2,9,55.7937
2,10,0
2,11,47.1529
2,12,49.765
3,1,0
3,2,49.6698
3,3,0
3,4,0
3,5,0
3,6,47.8163
3,7,0
3,8,0
3,9,0
3,10,53.7942
3,11,0
3,12,49.4645
4,1,0
4,2,55.681
4,3,0
4,4,0
4,5,0
4,6,0
4,7,51.06
4,8,50.168
4,9,0
4,10,0
4,11,40.0079
4,12,0
5,1,0
5,2,0
5,3,53.671
5,4,0
5,5,0
5,6,0
5,7,51.2293
5,8,49.6261
5,9,0
5,10,0
5,11,0
5,12,48.2623
6,1,0
6,2,49.2387
6,3,0
6,4,53.5661
6,5,0
6,6,0
6,7,55.9317
6,8,0
6,9,51.453
6,10,0
6,11,0
6,12,0
7,1,55.6039
7,2,0
7,3,48.0474
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
7,10,44.9145
7,11,47.7198
7,12,0
8,1,47.6378
8,2,0
8,3,52.4935
8,4,0
8,5,53.9187
8,6,45.2912
8,7,0
8,8,0
8,9,0
8,10,0
8,11,0
8,12,0
9,1,0
9,2,0
9,3,0
9,4,54.2104
9,5,0
9,6,55.0478
9,7,43.4204
9,8,0
9,9,0
9,10,0
9,11,0
9,12,55.4069
10,1,54.9542
10,2,0
10,3,0
10,4,47.3343
10,5,53.8522
10,6,0
10,7,0
10,8,0
10,9,53.6897
10,10,0
10,11,0
10,12,0
11,1,47.2043
11,2,54.9074
11,3,43.167
11,4,0
11,5,40.4247
11,6,0
11,7,0
11,8,0
11,9,0
11,10,0
11,11,0
11,12,0
12,1,0
12,2,0
12,3,0
12,4,54.4115
12,5,0
12,6,0
12,7,0
12,8,0
12,9,51.8813
12,10,42.0698
12,11,55.6452
12,12,0
